461836	1
2903	1
1460289	1
2769	1
130081	1
280699	0
5722	0
348837	0
184922	0
195067	1
905079	1
464988	1
5762	1
75058	1
134013	1
185431	1
157538	1
5664	1
1314962	0
1257118	1
1890364	1
5786	1
361077	1
1054147	1
670386	1
370355	0
5759	0
296587	0
41875	0
70448	0
436017	0
3218	1
13333	1
214687	1
4577	1
39947	1
4081	1
29760	1
3702	1
3847	1
3694	1
564608	1
574566	1
3075	1
554055	1
554065	1
3076	1
145388	1
3055	1
47790	1
3068	1
33097	1
667725	0
988480	0
684364	0
645134	0
588596	0
246409	0
1485682	0
284813	0
510516	0
367110	0
237561	0
559292	0
36022	0
630390	0
237631	0
1137138	0
1296120	0
214684	0
691883	1
595528	1
81824	1
946362	1
400682	1
10228	1
45351	1
126957	1
7227	1
29159	1
37653	1
7668	1
7739	1
7955	1
8355	1
8469	1
8496	1
299123	1
9258	1
13616	1
9785	1
9606	1
9913	1
44056	0
33653	0
65357	0
309737	0
2880	0
35128	0
159749	0
635003	0
1519565	0
556484	0
1169540	0
423536	0
36329	0
5851	0
110365	0
37360	1
227086	1
42384	1
2315210	1
12968	1
112090	1
695850	1
559515	1
4781	1
72520	1
285029	1
2951	1
89957	1
5963	1
5949	1
1172189	1
266149	1
5888	1
857967	1
312017	1
5875	1
5865	1
441375	1
88456	1
5802	1
94643	1
572307	1
432359	1
